tier,accountId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,puuid
CHALLENGER,8xjOSw27A8rJPWWDda0QkRwgsAaFVnkkWdUxyS1-fDzBOm0,국밥 7500원,931,243,175,False,False,False,U_qXcBYVTXIyT4kAaXJScLhS-4YydH8oy0XI6_lYnIQ3WqI-HpAQIAC9kn9Jsue8jb6SUkWIUsMbTg
CHALLENGER,jMSyurrP4Rc31gKyLGYnAXX0Y2yXlCSjDvxkSdGqA8t9Ccz2,Zoe123,951,323,261,False,False,False,svdXwAaX6XoH7KrmdKicRK-fgad6gwXftI3FgPdmxYA2aOYOsU10Gyk7v47wEHyodsKgMo8GTM0IIw
CHALLENGER,ev4kd3tNAjTnQByWwguxAuvr14J3MgpgUrtaNdGnkxYQXFI,JaeYounge2,1068,602,536,False,False,False,4Sp0BmOPtEDTqF9NFQ6W18eBaKHp2mdf4RzB5E33PmlOMkEBwFO8DiZuFsdxzLEbi15MlCzppBbXDw
CHALLENGER,JGNSzYPG7qRSY6hqSzHgRHSWA3eNlfUkzG8VgxKGuRsxNpjU,DRX Piero,1217,822,738,True,False,False,YRZa2huUTivA32_DaHoyEdSL4pULVg7x0RuliSSu4Jn52_6pe-VDmoKDJMkJfvQmKPE53m7N7DcIag
CHALLENGER,lZAdd9rFnKowL1OtPcb6k4tm45ENBSRS1DvnnRdyS3hsDaY,전설의롤1234,1077,375,310,True,False,False,2c6tGu1o464AMGZ4yYkwpfhDPQTl07E6PBAu8em5u-5OwUeSbn81qIzGctOFhI7mY_wYYo38G20xnQ
CHALLENGER,VLeHAm5k9ssP2_LnSnf7i51gaQDdfhtE14UbQwPhcyIcOpE,강주연,1010,572,505,True,False,False,Bp516thwtkFzJt1wuOUWpbn2_lmle5CGzO0rzDOVBDIck2bug0wzgEHr3xLikCpaqQ1gJfwGZsmRyA
CHALLENGER,Mh4V8Nq61ZKYcZ-1C7laahVdZu0JCJuPTXl_XfgFJLK-D4eIITXKZSYhBw,이기고싶댜아,967,435,377,True,False,False,udMXMarxh4MjbNEg0O1GlIxgn9IqCy0R4YsUDfq1so_FKsD2lWEm7V0SyXkyu9ovMZn56lpX5QDMYQ
CHALLENGER,W6k1x-I-tsnay3tXEVYkikt0Lt8Ryrj6QWJH_Sqwuwz5lsg,오뚜기3분미트볼,918,635,581,False,False,False,ondTHMpglcdSi3J_DfSWSSyWBUJ_N6KZC-rqyhIegBoZmKZbR1nfDxm9fw5i3UDNfwyslvqdt5ekzA
CHALLENGER,dOlZCKTerOI3JXtTlyJUcu4tfsT0Nh-MIyta7fH0B1iaS8FK,sryteam01,997,819,742,False,False,False,9MW1l1uFyuaT3jnKMIIciyRkGCoPtnKypR-326J56W-7DSrL3FOz2rVlIb72kpeEWsY3g29WKxH7LA
CHALLENGER,27EpOkDd27HwtTnei8m5gTLhv_6e6q9mBnM3y1PmsMw3WUo,사람 안 믿어,990,896,832,False,False,False,Vv4UFpn5QQVfOsLWIID0FhQ9W9d-lOcUFNuBCLmpgUr_KnLsHl2wuYAgnz2X2IDDCMHmZjf2mY3G9A
